1,X,2,1X,12,2X,O,U,home,away,time
2.40,3.30,2.88,1.36,1.29,1.51,1.98,1.75,Sligo Rovers,Waterford Utd,20:45
4.30,4.00,1.74,2.01,1.22,1.19,1.52,2.43,St. Truidense,Club Brugge,20:45
1.38,5.00,7.80,1.07,1.16,2.98,1.57,2.36,Milan,Hellas Verona,20:45
2.23,3.30,2.92,1.29,1.23,1.50,1.68,2.00,AD Vasco Da Gama AC,SC Humaita AC,21:00
1.80,3.50,3.90,1.16,1.21,1.79,1.70,1.98,Bare EC RR,Rio Negro RR,21:00
4.20,2.97,1.93,1.68,1.28,1.14,2.54,1.44,Capixaba SC ES,Rio Branco AC ES,21:00
1.23,5.40,9.90,,1.08,3.30,1.55,2.24,PSG,Montpellier HSC,21:00
2.68,2.83,2.98,1.36,1.39,1.43,2.82,1.40,Willem II,Groningen,21:00
1.66,3.95,5.15,1.15,1.24,2.19,1.76,2.03,Villarreal,Valencia,21:00
2.15,3.05,3.80,1.24,1.34,1.65,2.35,1.55,Tenerife,Cordoba,21:00
2.52,2.92,2.82,1.32,1.29,1.39,2.30,1.53,Pfa Antioquia FC,Aserri,21:00
1.56,3.70,5.40,1.08,1.18,2.11,1.94,1.74,Aguia De Maraba,Caete PA,21:00
2.18,2.78,3.80,1.21,1.37,1.58,3.20,1.30,Deportivo Merlo,Comunicaciones,21:00
2.15,3.10,3.40,1.26,1.30,1.60,2.32,1.54,Excursionistas,Argentino de Merlo,21:00
1.87,3.15,4.40,1.16,1.29,1.80,2.68,1.42,Real Pilar,Atletico Fenix,21:00
3.50,2.76,2.30,1.53,1.37,1.24,2.90,1.36,Sacachispas,Deportivo Armenio,21:00
2.40,2.80,3.25,1.28,1.36,1.49,2.90,1.36,Villa San Carlos,CSCD Laferrere,21:00
2.30,3.10,2.80,1.29,1.24,1.44,2.12,1.58,CA Banfield,Ferro Carril Oeste,21:00
2.17,2.80,3.35,1.19,1.29,1.49,2.58,1.40,Independiente,Platense,21:00
5.30,3.60,1.54,2.08,1.17,1.06,2.10,1.60,Velez Sarfield,San Luis FC,21:00
2.30,3.00,3.30,1.29,1.34,1.55,2.55,1.46,Danubio FC,Cerro Largo,21:00
2.15,3.65,2.65,1.33,1.17,1.50,1.43,2.50,CD Aguila,Alianza FC,21:00
3.60,3.05,2.16,1.62,1.33,1.25,2.80,1.39,Aldosivi,Estudiantes La Plata,21:00
1.60,3.50,6.10,1.09,1.26,2.20,2.18,1.62,Defensa Y Justicia,Barracas Central,21:00
2.98,2.44,2.98,1.33,1.47,1.33,3.75,1.23,Defensores Unidos,CA Chaco For Ever,21:00
3.35,2.80,2.35,1.50,1.36,1.26,3.15,1.30,Talleres de Remedios,Gimnasia y Esgrima Mendoza,21:00
1.84,3.25,4.10,1.15,1.24,1.75,,,Operario FC MS,Costa Rica EC MS,21:00
5.70,4.40,1.54,2.44,1.19,1.13,1.60,2.30,Toulouse,PSG,21:05
4.85,3.30,1.75,1.93,1.27,1.13,2.47,1.48,Alianza Atletico,Alianza Lima,21:30
1.26,6.00,9.70,1.03,1.10,3.60,1.55,2.35,Sporting,FC Arouca,21:30
2.16,3.05,3.40,1.26,1.31,1.59,2.22,1.58,Real Santander,Real Cundinamarca,21:30
3.40,2.94,2.24,1.55,1.33,1.26,2.57,1.45,Tigres,Huila,21:30
3.25,2.97,2.20,1.51,1.28,1.24,2.40,1.48,Barra FC SC,Avai,22:00
1.98,3.10,3.40,1.19,1.24,1.60,2.08,1.60,Municipal,Comunicaciones,22:00
2.80,2.90,2.55,1.38,1.30,1.32,2.55,1.43,CA Votuporanguense SP,XV De Piracicaba,22:00
1.56,3.70,6.20,1.09,1.23,2.28,2.30,1.56,America de Cali,Santa Fe,22:00
2.46,3.25,2.80,1.38,1.29,1.48,1.96,1.77,O'Higgins,Huachipato,22:00
1.63,3.95,4.90,1.14,1.21,2.14,1.75,1.98,Palestino,Cobresal,22:00
1.48,4.10,5.00,1.08,1.13,2.20,1.42,2.54,CD Fas,AD Isidro Metapan,22:00
3.90,3.50,1.74,1.80,1.18,1.14,1.47,2.37,FC Phoenix 1976,AC Port Of Spain,22:00
2.86,2.96,2.55,1.43,1.33,1.35,2.42,1.50,Nacional Asuncion,Club Guarani Asuncion,22:15
1.75,3.15,5.20,1.11,1.29,1.93,2.22,1.58,Juazeirense,Colo Colo BA,22:30
5.25,3.45,1.68,2.06,1.27,1.12,2.36,1.53,Bangu,Madureira,22:30
1.44,4.65,5.90,1.09,1.14,2.53,1.52,2.37,Deportiva Venados,CD Avispones de Chilpancingo AC,22:30
1.74,3.70,4.25,1.17,1.22,1.94,1.68,2.07,Petroleros de Salamanca FC,Aguacateros CD Uruapan,22:30
1.22,5.90,10.75,-,1.09,3.70,1.46,2.52,Zacatepec FC,Colima FC,22:30
1.84,3.60,3.65,1.19,1.19,1.75,1.66,2.06,Cdm FC,CD Ayense AC,22:30
5.30,4.30,1.48,2.28,1.13,1.08,1.58,2.18,Ciervos,Cordobes FC,22:30
5.60,3.90,1.55,2.25,1.19,1.10,1.94,1.77,Libertad Loja,CSD Independiente del Valle,22:30
3.35,3.25,2.20,1.62,1.31,1.29,2.17,1.64,Portuguesa,Corinthians,22:30
1.38,4.00,8.00,1.01,1.16,2.56,2.18,1.58,Carabobo,Yaracuyanos,22:45
1.65,3.70,4.65,1.11,1.18,1.96,1.75,1.92,Independencia FC AC,Adesg AC,23:00
3.90,3.40,1.93,1.78,1.27,1.21,2.03,1.72,Boavista,Botafogo RJ,23:00
2.08,3.35,3.35,1.26,1.26,1.64,1.97,1.75,Aguacateros de Periban FC,Irapuato,23:00
2.30,3.70,2.70,1.39,1.22,1.53,1.48,2.47,Sporting Canamy,Reboceros de La Piedad,23:00
3.80,3.35,1.92,1.76,1.26,1.21,2.03,1.70,Tritones Vallarta MFC,Cimarrones de Sonora,23:00
2.10,3.10,3.30,1.23,1.26,1.57,2.10,1.63,Club Calor,Canoneros Marina,23:00
1.78,2.94,5.60,1.10,1.33,1.89,3.20,1.30,Deportivo Madryn,CA Racing de Cordoba,23:00
1.98,2.80,4.55,1.15,1.36,1.71,3.10,1.32,Estudiantes de Buenos Aires,Almirante Brown,23:05
2.23,2.90,3.60,1.25,1.36,1.58,2.66,1.43,Central Cordoba SDE,Belgrano de Cordoba,23:15
2.30,2.80,3.55,1.25,1.38,1.55,3.15,1.32,Independiente Rivadavia de Mendoza,Tigre,23:15
1.34,4.75,8.90,1.03,1.15,3.00,1.92,1.80,CA Penarol Montevideo,CA Boston River,23:30
2.62,3.20,2.37,1.41,1.22,1.34,1.83,1.80,CD Santa Cruz,U. de Concepcion,00:00
1.84,3.40,4.25,1.18,1.27,1.86,2.03,1.72,Atlas,Puebla,00:00
2.10,3.25,3.20,1.25,1.24,1.57,1.84,1.83,Atletico San Luis,Queretaro,00:00
2.04,3.15,3.50,1.21,1.25,1.60,2.10,1.62,CA Independiente de La Chorrera,CD Universitario Penonome,00:00
1.60,3.90,5.00,1.12,1.19,2.15,1.80,1.90,Tigres de Alica FC,Real Apodaca FC,00:00
1.70,3.45,5.00,1.12,1.25,1.99,2.18,1.60,Jaguares de Cordoba,Orsomarso,00:00
1.12,7.40,11.25,,1.01,4.20,1.19,3.75,Caledonia AIA,Cunupia,00:00
